Year,Investigation.Type,Country,Injury.Severity,Make.Model,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
2007,Incident,United States,Non-Fatal,Cirrus Sr20,Instructional,0.0,0.0,0.0,2.0
2007,Incident,United States,Non-Fatal,Mcdonnell Dc-10-30,Commercial,0.0,0.0,0.0,306.0
2007,Accident,United States,Non-Fatal,Douglas Dc-9-31,Commercial,0.0,0.0,0.0,99.0
2007,Accident,United States,Non-Fatal,Raytheon A36,Business,0.0,2.0,2.0,0.0
2007,Incident,United States,Non-Fatal,"Bombardier, Cl-600-2B19",Commercial,0.0,0.0,0.0,53.0
2007,Incident,United States,Non-Fatal,Piper Pa-32R-301T,Business,0.0,0.0,0.0,1.0
2007,Accident,United States,Non-Fatal,Bell 206B3,Business,0.0,0.0,0.0,4.0
2007,Accident,United States,Non-Fatal,Robinson R22 Beta,Business,0.0,1.0,1.0,0.0
2007,Accident,United States,Fatal,Piper Pa-44-180,Instructional,2.0,0.0,0.0,0.0
2007,Accident,United States,Fatal,Piper Pa-28R-200,Business,2.0,0.0,0.0,0.0
2007,Accident,United States,Fatal,Cessna 340,Business,3.0,0.0,0.0,0.0
2007,Accident,United States,Fatal,Hughes 269C,Instructional,1.0,0.0,0.0,0.0
2007,Accident,United States,Non-Fatal,Gulfstream G-Iv,Business,0.0,0.0,0.0,8.0
2007,Incident,United States,Non-Fatal,Robinson R22 Beta,Instructional,0.0,0.0,0.0,2.0
2007,Accident,United States,Non-Fatal,Boeing 777-222,Commercial,0.0,1.0,0.0,263.0
2007,Accident,United States,Non-Fatal,Airbus A330-323,Commercial,0.0,1.0,3.0,291.0
2007,Accident,United States,Non-Fatal,Mcdonnell Dc-9-83,Commercial,0.0,2.0,0.0,112.0
2008,Accident,United States,Non-Fatal,Cessna 152,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Beech A36,Business,0.0,0.0,0.0,3.0
2008,Accident,United States,Non-Fatal,Piper Pa-28-161,Instructional,0.0,0.0,0.0,2.0
2008,Incident,United States,Non-Fatal,Boeing 737-2H4,Commercial,0.0,0.0,0.0,38.0
2008,Accident,United States,Non-Fatal,Robinson R22 Beta,Instructional,0.0,0.0,1.0,0.0
2008,Accident,United States,Non-Fatal,Airbus A319-114,Commercial,0.0,0.0,0.0,73.0
2008,Accident,United States,Non-Fatal,Cessna C-152,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Newbold Newbold 2000,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,"Bombardier, Cl-600-2C10",Commercial,0.0,0.0,0.0,61.0
2008,Accident,United States,Non-Fatal,Robinson R44 Ii,Business,0.0,1.0,0.0,3.0
2008,Accident,United States,Non-Fatal,Beech 58P,Business,0.0,0.0,0.0,2.0
2008,Accident,Spain,Non-Fatal,Cessna A188B,Aerial Application,0.0,0.0,0.0,1.0
2008,Incident,United States,Non-Fatal,Fairchild Sa227-Ac,Commercial,0.0,0.0,0.0,2.0
2008,Accident,United States,Fatal,Air Clipper,Instructional,2.0,0.0,0.0,0.0
2008,Accident,Italy,Fatal,Cessna 177B,Instructional,2.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Cessna 172N,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Schweizer Sgs 2-32,Instructional,0.0,0.0,0.0,2.0
2008,Incident,United States,Non-Fatal,Airbus A320,Commercial,0.0,0.0,0.0,107.0
2008,Accident,United States,Non-Fatal,Cessna 172S,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 150J,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Bell Oh-58A,Aerial Application,0.0,0.0,0.0,1.0
2008,Incident,United States,Non-Fatal,Boeing B757-200,Commercial,0.0,6.0,0.0,140.0
2008,Accident,United States,Fatal,Cirrus Sr22,Instructional,2.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,De Dhc-8-202,Commercial,0.0,1.0,1.0,20.0
2008,Incident,Germany,Non-Fatal,Boeing 737,Commercial,0.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Cessna C-172Rg,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Cessna Tr182,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Cessna 172Sp,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Robinson R22 Beta,Instructional,0.0,0.0,0.0,2.0
2008,Accident,Austria,Fatal,Bell 206B,Instructional,2.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Piper Pa-44-180,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Cessna 152,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Piper Pa-44-180,Instructional,0.0,3.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Cessna 140,Instructional,0.0,0.0,0.0,2.0
